cia_id,cia_denominacion,indice_tiempo,titulos_pais_cotizacion_sin,titulos_pais_cotizacion_con,titulos_exterior,acciones_país_cotizacion_sin,acciones_país_cotizacion_con,acciones_exterior,fondos_comunes_inversion_pais,fondos_comunes_inversion_exterior,fideicomisos_pais,fideicomisos_exterior,obligaciones_negociables_pais,obligaciones_negociables_exterior,plazos_fijos_pais,plazos_fijos_exterior,prestamos_prendarios,prestamos_hipotecarios,prestamos_prevision_incobrabilidad,prestamos_sobre_polizas_vida,prestamos_sobre_valores,inversiones_pais_otras,inversiones_exterior_otras
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2019-10-01,,443471080.0,,,,,2099951442.0,,,,89376206.0,,,,,,,,,,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2020-01-01,,493975686.0,,,,,2093107138.0,,,,118135440.0,,,,,,,,,,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2020-04-01,,701711523.0,,,,,2757671661.0,,,,120740094.0,,,,,,,,,75650000.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2020-07-01,,1090751444.0,,,,,3895326957.0,,,,232078691.0,,,,,,,,,107872883.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2020-10-01,,1649125056.0,,,,,3847554969.0,,,,310349893.0,,,,,,,,,109577192.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2021-01-01,,1573368259.0,,,,,4262973468.0,,,,249607807.0,,,,,,,,,107277986.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2021-04-01,,1660813083.0,,,,,4637907606.0,,,,297361470.0,,,,,,,,,122916831.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2021-07-01,,1784379037.0,,,,,5371773833.0,,,,317314565.0,,,,,,,,,136504410.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2021-10-01,0.0,2094976801.0,0.0,0.0,0.0,0.0,5103982779.0,0.0,0.0,0.0,337578658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146043240.0,0.0
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2022-01-01,,3155419883.0,,,,,4955598586.0,,,,317669761.0,,,,,,,,,151860590.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2022-04-01,,3354210150.0,,,,,5619213469.0,,,,295955645.0,,,,,,,,,29887239.0,
2,SMG COMPAÑIA ARGENTINA DE SEGUROS S.A.,2022-07-01,,3295138532.0,,,,,6414525060.0,,15000000.0,,400796324.0,,,,,,,,,39082001.0,
